RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   85     0     0  con    0  1.0D+00  2.9D-01  2.663D-02  2.599D-01
   73   86     0     0  con    0  1.0D+00  1.3D-01  1.384D-02  2.595D-01
   74   87     0     0  con    0  1.0D+00  1.1D-01  6.134D-03  2.591D-01
   75   88     0     0  con    0  1.0D+00  3.2D-01  6.816D-03  2.584D-01
   76   89     0     0  con    0  1.0D+00  1.7D-01  1.235D-02  2.578D-01
   77   90     0     0  con    0  1.0D+00  4.6D-01  2.600D-02  2.572D-01
   78   91     0     0  con    0  1.0D+00  1.8D-01  1.238D-02  2.564D-01
   79   92     0     0  con    0  1.0D+00  1.3D-01  4.880D-03  2.559D-01
   80   93     0     0  con    0  1.0D+00  1.5D-01  9.535D-03  2.555D-01
   81   94     0     0  con    0  1.0D+00  9.9D-02  1.150D-02  2.550D-01
   82   95     0     0  con    0  1.0D+00  2.2D-01  1.524D-02  2.542D-01
   83   96     0     0  con    0  1.0D+00  3.5D-01  5.677D-03  2.535D-01
   84   97     0     0  con    0  1.0D+00  1.8D-01  9.391D-03  2.530D-01
   85   98     0     0  con    0  1.0D+00  1.6D-01  9.106D-03  2.526D-01
   86   99     0     0  con    0  1.0D+00  3.5D-01  2.297D-02  2.518D-01
   87  100     0     0  con    0  1.0D+00  2.0D-01  7.875D-03  2.512D-01
   88  101     0     0  con    0  1.0D+00  1.6D-01  8.481D-03  2.508D-01
   89  102     0     0  con    0  1.0D+00  9.7D-02  6.308D-03  2.505D-01
   90  103     0     0  con    0  1.0D+00  2.5D-01  6.309D-03  2.500D-01
   91  105     0     0  con    1  2.0D-01  1.6D-01  1.552D-02  2.498D-01
   92  106     0     0  con    0  1.0D+00  1.5D-01  1.005D-02  2.494D-01
   93  107     0     0  con    0  1.0D+00  1.8D-01  7.600D-03  2.488D-01
   94  108     0     0  con    0  1.0D+00  1.7D-01  9.316D-03  2.485D-01
   95  109     0     0  con    0  1.0D+00  2.4D-01  7.467D-03  2.480D-01
   96  110     0     0  con    0  1.0D+00  3.7D-01  8.157D-03  2.474D-01
   97  112     0     0  con    1  2.1D-01  1.7D-01  1.021D-02  2.471D-01
   98  113     0     0  con    0  1.0D+00  3.1D-01  1.267D-02  2.465D-01
   99  114     0     0  con    0  1.0D+00  5.4D-01  8.369D-03  2.454D-01
  100  115     0     0  con    0  1.0D+00  4.3D-01  1.583D-02  2.443D-01
  101  116     0     0  con    0  1.0D+00  2.7D-01  5.817D-03  2.438D-01
  102  117     0     0  con    0  1.0D+00  1.8D-01  5.583D-03  2.435D-01
  103  118     0     0  con    0  1.0D+00  3.2D-01  4.205D-03  2.424D-01
  104  119     0     0  con    0  1.0D+00  3.6D-01  9.464D-03  2.413D-01
  105  120     0     0  con    0  1.0D+00  3.0D-01  1.176D-02  2.404D-01
  106  121     0     0  con    0  1.0D+00  1.1D-01  4.479D-03  2.398D-01
  107  122     0     0  con    0  1.0D+00  9.9D-02  7.230D-03  2.395D-01
  108  123     0     0  con    0  1.0D+00  1.4D-01  6.953D-03  2.390D-01
  109  124     0     0  con    0  1.0D+00  3.0D-01  4.351D-03  2.381D-01
  110  125     0     0  con    0  1.0D+00  3.0D-01  1.137D-02  2.374D-01
  111  126     0     0  con    0  1.0D+00  7.6D-02  6.852D-03  2.369D-01
  112  127     0     0  con    0  1.0D+00  1.3D-01  4.961D-03  2.365D-01
  113  128     0     0  con    0  1.0D+00  1.1D-01  2.190D-02  2.364D-01
  114  129     0     0  con    0  1.0D+00  5.0D-02  1.048D-02  2.363D-01
  115  130     0     0  con    0  1.0D+00  5.2D-02  6.658D-03  2.361D-01
  116  131     0     0  con    0  1.0D+00  5.0D-02  7.791D-03  2.360D-01
  117  132     0     0  con    0  1.0D+00  1.3D-01  6.631D-03  2.357D-01
  118  134     0     0  con    1  4.0D-01  1.6D-01  7.430D-03  2.355D-01
  119  135     0     0  con    0  1.0D+00  8.1D-02  3.950D-03  2.353D-01
  120  136     0     0  con    0  1.0D+00  7.9D-02  6.967D-03  2.351D-01
  121  137     0     0  con    0  1.0D+00  1.0D-01  3.589D-03  2.348D-01
  122  138     0     0  con    0  1.0D+00  2.3D-01  9.633D-03  2.346D-01
  123  139     0     0  con    0  1.0D+00  1.6D-01  3.783D-03  2.343D-01
  124  140     0     0  con    0  1.0D+00  2.5D-01  4.070D-03  2.338D-01
  125  142     0     0  con    1  3.2D-01  7.5D-02  8.072D-03  2.337D-01
  126  143     0     0  con    0  1.0D+00  1.2D-01  6.185D-03  2.336D-01
  127  144     0     0  con    0  1.0D+00  5.6D-02  2.239D-03  2.334D-01
  128  145     0     0  con    0  1.0D+00  1.6D-01  3.925D-03  2.333D-01
  129  147     0     0  con    1  1.2D-01  5.2D-02  1.078D-02  2.332D-01
